"id_cordee","lib_cordee","region","academie","departement","commune","composante_cordee","lycees_sources"
"C0196","Partenariat lycées-Université de Rennes 1","Bretagne","Rennes",35,"Combourg","TETE(S) DE CORDEE","Lycée Bertrand d'Argentre à Vitré"
"C0120","ARTEM","Lorraine","Nancy-Metz",54,"Pompey ","LYCEES SOURCES","Lycée Bertrand Schwartz"
"C0159","Cordée Jean-Baptiste Say","Ile-de-France","Paris",93,"Sevran","LYCEES SOURCES","Lycée Blaise Cendrars"
"C0051","Pôle sciences : faire des études longues, pourquoi pas ?","Auvergne","Clermont-Ferrand",3,"Saint Pourcain sur Sioule","LYCEES SOURCES","Lycée Blaise de Vigenere"
"C0138","Elan 49","Pays de la Loire","Nantes",49,"Segré","LYCEES SOURCES","Lycée Blaise Pascal"
"C0177","Cordée Arts et métiers","Champagne-Ardennes","Reims",52,"Saint-Dizier","LYCEES SOURCES","Lycée Blaise Pascal"
"C0120","ARTEM","Lorraine","Nancy-Metz",57,"Forbach","LYCEES SOURCES","Lycée Blaise pascal"
"C0127","Grande école de commerce","Lorraine","Nancy-Metz",57,"Forbach","LYCEES SOURCES","Lycée Blaise Pascal"
"C0128","IEP Paris","Lorraine","Nancy-Metz",57,"Forbach","LYCEES SOURCES","Lycée Blaise Pascal"
"C0134","Université Paul Verlaine - Metz","Lorraine","Nancy-Metz",57,"Forbach","LYCEES SOURCES","Lycée Blaise pascal"
"C0050","Pôle sciences : faire des études longues, pourquoi pas ?","Auvergne","Clermont-Ferrand",63,"Clermont-Ferrand","LYCEE(S) AVEC CPGE","Lycée Blaise Pascal"
"C0051","Pôle sciences : faire des études longues, pourquoi pas ?","Auvergne","Clermont-Ferrand",63,"Clermont-Ferrand","LYCEE(S) AVEC CPGE","Lycée Blaise Pascal"
"C0052","Pôle sciences : faire des études longues, pourquoi pas ?","Auvergne","Clermont-Ferrand",63,"Clermont-Ferrand","LYCEE(S) AVEC CPGE","Lycée Blaise Pascal"
"C0208","Prep'avenir","Haute Normandie","Rouen",76,"Rouen","LYCEE(S) AVEC CPGE","Lycée Blaise Pascal"
"C0208","Prep'avenir","Haute Normandie","Rouen",76,"Rouen","LYCEES SOURCES","Lycée Blaise Pascal"
"C0057","Cordée Lockwood","Ile-de-France","Créteil",77,"Brie-Comte-Robert","LYCEES SOURCES","Lycée Blaise Pascal"
"C0237","HORIZONS - Première cordée de la réussite internationale","Ile-de-France","Versailles",78,"Le Chesnay","LYCEE(S) AVEC CPGE","Lycée Blanche de Castille"
"C0064","Eiffel de la réussite","Bourgogne","Dijon",71,"Autun","LYCEES SOURCES","Lycée Bonaparte"
"C0225","Osez l'excellence","Midi-Pyrénées","Toulouse",81,"Castres","LYCEES SOURCES","Lycée Borde Basse"
"C0020","Accès et réussite à l'UPJV","Picardie","Amiens",80,"Abbeville","LYCEES SOURCES","Lycée Boucher de Perthes"
"C0057","Cordée Lockwood","Ile-de-France","Créteil",77,"Brie-Comte-Robert","LYCEES SOURCES","Lycée Bougainville"
"C0221","DISPO","Midi-Pyrénées","Toulouse",82,"Montauban","LYCEES SOURCES","Lycée Bourdelle"
"C0223","Egalité des chances-INSA","Midi-Pyrénées","Toulouse",82,"Montauban","LYCEES SOURCES","Lycée Bourdelle"
"C0125","Ensemble pour que chaque élève ose sa réussite","Lorraine","Nancy-Metz",54,"Luneville","LYCEES SOURCES","Lycée Boutet de Monvel"
"C0094","Convention diversité Académie de Lyon","Rhône-Alpes","Lyon",69,"Lyon","LYCEE(S) AVEC CPGE","Lycée Branly"
"C0100","Ouverture sociale des CPGE et école d'été","Rhône-Alpes","Lyon",69,"Lyon","LYCEE(S) AVEC CPGE","Lycée Branly"
"C0094","Convention diversité Académie de Lyon","Rhône-Alpes","Lyon",69,"Lyon","LYCEES SOURCES","Lycée Branly"
"C0094","Convention diversité Académie de Lyon","Rhône-Alpes","Lyon",42,"Rive-de-Giers","LYCEES SOURCES","Lycée Brassens"
"C0099","Ouverture internationale pour les STI","Rhône-Alpes","Lyon",42,"Rive-de-Giers","LYCEES SOURCES","Lycée Brassens"
"C0164","OPTIM","Ile-de-France","Paris",91,"Courcouronnes","LYCEES SOURCES","Lycée Brassens"
"C0187","Confiance, ambition, réussite en Sud Finistère","Bretagne","Rennes",29,"Quimper","LYCEE(S) AVEC CPGE","Lycée Brizeux"
"C0187","Confiance, ambition, réussite en Sud Finistère","Bretagne","Rennes",29,"Quimper","LYCEES SOURCES","Lycée Brizeux"
"C0191","Mieux vivre sa scolarité et la réussir en s'ouvrant à l'autre","Bretagne","Rennes",56,"Guer","LYCEE(S) AVEC CPGE","Lycée Brocéliande"
"C0191","Mieux vivre sa scolarité et la réussir en s'ouvrant à l'autre","Bretagne","Rennes",56,"Guer","LYCEES SOURCES","Lycée Brocéliande"
