"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0711815M","LYCEE PROFESSIONNEL AGRICOLE","VELET","ROUTE DE ST DIDIER-SUR-ARROUX","ETANG SUR ARROUX",71,71190
"0701016Z","LYCEE PROFESSIONNEL PRIVE","LE MARTEROY","7 AVENUE ARISTIDE BRIAND","VESOUL",70,70000
"0701078S","LYCEE POLYVALENT","LUMIERE","33 ter rue GRAMMONT","LUXEUIL LES BAINS CEDEX",70,70306
"0720012X","LYCEE GENERAL ET TECHNOLOGIQUE","RACAN","9 avenue DU MANS","MONTVAL SUR LOIR",72,72500
"0711755X","LYCEE POLYVALENT PRIVE","DU SACRE COEUR","22  AVENUE DE CHAROLLES","PARAY LE MONIAL CEDEX",71,71604
"0692968B","LYCEE PROFESSIONNEL","ANDRE CUZIN","42 chemin DE CREPIEUX","CALUIRE ET CUIRE",69,69300
"0710054Y","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI PARRIAT","49 rue DE GOURDON","MONTCEAU LES MINES CEDEX",71,71307
"0711137A","LYCEE GENERAL ET TECHNOLOGIQUE","CAMILLE CLAUDEL","Route DE ROANNE","DIGOIN",71,71160
"0690281F","LP LYCEE DES METIERS","JOSEPH-MARIE JACQUARD","20  RUE LOUIS AUGUSTE BLANQUI","OULLINS CEDEX",69,69921
"0720055U","LYCEE GENERAL ET TECHNOLOGIQUE","PAUL SCARRON",,"SILLE LE GUILLAUME",72,72140
"0700947Z","LYCEE PROFESSIONNEL PRIVE","AGRICOLE SAINTE MARIE","13 RUE VICTOR HUGO","GRAY CEDEX",70,70104
"0710042K","LYCEE POLYVALENT","HENRI VINCENOT","26 montée SAINT CLAUDE","LOUHANS",71,71500
"0710045N","LGT LYCEE DES METIERS","LAMARTINE","AVENUE DES GAISES","MACON CEDEX",71,71018
"0710077Y","LYCEE PROFESSIONNEL","JULIEN DE BALLEURE","141 avenue BOUCICAUT","CHALON SUR SAONE CEDEX",71,71321
"0710079A","LYCEE PROFESSIONNEL","FRANCOISE DOLTO","1 rue CAPITAINE PRIET","MONTCEAU LES MINES CEDEX",71,71307
"0710105D","LYCEE POLYVALENT PRIVE","LA COLOMBIERE","48 RUE DU PONT DE FER","CHALON SUR SAONE",71,71100
"0693373S","LYCEE PROF PRIVE DES METIERS","CARREL","119 RUE BOILEAU","LYON",69,69006
"0693374T","LYCEE PROF PRIVE DES METIERS","LA MACHE","75 BOULEVARD JEAN XXIII","LYON CEDEX 08",69,69373
"0741689J","LYCEE PROFESSIONNEL AGRICOLE",,"ROUTE DE L'ECOLE D'AGRICULTURE","CHAVANOD",74,74650
"0711120G","LYCEE PROFESSIONNEL AGRICOLE","CHAROLLES","CHEMIN D'OUZE","CHAROLLES",71,71120
"0711322B","LP LYCEE DES METIERS","CAMILLE DU GAST","1 rue DE LA MANUTENTION","CHALON SUR SAONE CEDEX",71,71321
"0720907V","LYCEE PROFESSIONNEL AGRICOLE","BRETTE LES PINS",,"BRETTE LES PINS",72,72250
"0730848A","LYCEE PROFESSIONNEL PRIVE","AMELIE GEX","29 RUE PRESIDENT COTY","ALBERTVILLE",73,73200
"0730849B","LYCEE PROFESSIONNEL PRIVE","SAINT BERNARD","PLACE DE CASTEX","BOURG ST MAURICE",73,73700
"0730851D","LYCEE PROFESSIONNEL PRIVE","ST JOSEPH","137 RUE DU COLLEGE","ST JEAN DE MAURIENNE",73,73300
"0730772T","LYCEE PROFESSIONNEL PRIVE","LE MARGERIAZ","28 rue DE BUISSON ROND","BARBERAZ",73,73000
"0730774V","LYCEE PROFESSIONNEL PRIVE","SAINTE ANNE - SAVOISIENNE","260  RUE DE LEYA","LA MOTTE SERVOLEX CEDEX",73,73292
"0730776X","LYCEE PROF PRIVE des METIERS","SAINTE GENEVIEVE","2  BOULEVARD DU THEATRE","CHAMBERY",73,73000
"0730779A","LYCEE PROFESSIONNEL PRIVE","SAVOISIENNE",85,"DRUMETTAZ CLARAFOND",73,73420
"0741567B","CENTRE DE FORMATION CONTINUE","LYCEE J.ANTIDE","55 IMPASSE DU BREVET","REIGNIER ESERY",74,74930
"0750807V","LYCEE PROFESSIONNEL","LP R. MECAN. GENERALE","88 RUE DES HAIES","PARIS",75,75020
"0750809X","LYCEE PROFESSIONNEL","MARYSE BASTIE","17 RUE LIGNER","PARIS",75,75020
"0752233V","COURS DE PROMOTION PRO","LYCEE D ENS.PROFESSIONNEL","61  RUE CORVISART","PARIS",75,75013
"0741532N","LYCEE GENERAL ET TECHNOLOGIQUE","DE L'ALBANAIS","Rue DU LYCEE","RUMILLY CEDEX",74,74152
"0730043A","LPO LYCEE DES METIERS","RENE PERRIN","41 rue RENE PERRIN","UGINE",73,73400
"0731249L","LYCEE PROFESSIONNEL","LOUIS ARMAND","321 rue DU GRAND CHAMP","CHAMBERY",73,73000
"0720842Z","LYCEE GENERAL PRIVE","ST MICHEL DES PERRAIS","LIEU-DIT LES PERRAIS","PARIGNE LE POLIN",72,72330
"0720843A","LYCEE POLYVALENT PRIVE","STE ANNE","5  RUE ALAIN DE ROUGE","SABLE SUR SARTHE CEDEX",72,72305
"0750508V","LYCEE PROFESSIONNEL","CHARLES DE GAULLE","17  RUE LIGNER","PARIS",75,75020
"0750516D","LYCEE D ENS.INDUSTRIEL",,"20 RUE DE LA SAIDA","PARIS",75,75015
"0731043M","LYCEE PROFESSIONNEL","LA CARDINIERE","191 chemin DE LA CARDINIERE","CHAMBERY",73,73000
"0730030L","LP LYCEE DES METIERS","AMBROISE CROIZAT","244  AVENUE DE LA LIBERATION","MOUTIERS TARENTAISE CEDEX",73,73604
"0730032N","LP LYCEE DES METIERS","LE NIVOLET","Route DE BARBY","LA RAVOIRE CEDEX",73,73491
"0730039W","LP LYCEE DES METIERS","GENERAL FERRIE","62 avenue DU VIGNY","ST MICHEL DE MAURIENNE",73,73140
"0750801N","LYCEE PROFESSIONNEL",,"21 RUE GANNERON","PARIS",75,75018
"0750803R","LYCEE PROFESSIONNEL","LYCEE PROFESSIONNEL REGIONAL","7 RUE CLAVEL","PARIS",75,75019
"0750804S","LYCEE PROFESSIONNEL",,"26 RUE DU DOCTEUR POTAIN","PARIS",75,75019
"0750805T","LYCEE PROFESSIONNEL",,"12 RUE JEAN QUARRE","PARIS",75,75019
"0750806U","LYCEE PROFESSIONNEL",,"2 BIS RUE BOURET","PARIS",75,75019
"0721298V","LYCEE PROFESSIONNEL PRIVE","ST MARTIN","CHÂTEAU DE MAISON ROUGE","LA BRUERE SUR LOIR",72,72500
"0711883L","FARPI LYCEE NIEPCE CHALON/SAON",,"131  AVENUE BOUCICAUT","CHALON SUR SAONE",71,71100
"0710087J","LYCEE PROFESSIONNEL","ASTIER","Rue DE BOURGOGNE","PARAY LE MONIAL",71,71600
"0741068J","COURS DE PROMOTION PROF.","LYCEE D ENS.PROF.DE VOVRAY","ROUTE DE SACCONGES","SEYNOD",74,74600
"0730016W","LGT LYCEE DES METIERS","MONGE","119 avenue MARIUS BERROIR","CHAMBERY",73,73000
"0721335K","LYCEE PROF.AGRICOLE PRIVE","CTRE FORMATION FEMININE AGRIC","30 BIS RUE DU DOCTEUR TOUCHARD","SILLE LE GUILLAUME",72,72140
"0721336L","LYCEE PROF.AGRICOLE PRIVE","NOTRE DAME","10 RUE DU TERTRE","LA FERTE BERNARD",72,72400
"0721337M","LYCEE PROF.AGRICOLE PRIVE","NAZARETH","RUE DE L'ABBE DUJARIE","RUILLE SUR LOIR",72,72340
"0721549T","LYCEE GENERAL PRIVE","ST PAUL-NOTRE DAME","54 avenue DE LA REPUBLIQUE","LA FERTE BERNARD",72,72400
"0721478R","LYCEE POLYVALENT PRIVE","ST JOSEPH LA SALLE",,"PRUILLE LE CHETIF",72,72700
"0741556P","LYCEE PROFESSIONNEL AGRICOLE","JEANNE ANTIDE","55  IMPASSE DU BREVENT","REIGNIER ESERY",74,74930
"0730767M","LYCEE POLYVALENT PRIVE","ST JOSEPH","137 RUE DU COLLEGE","ST JEAN DE MAURIENNE",73,73300
"0750498J","LYCEE D ENS.INDUSTRIEL",,"10 RUE LE VAU","PARIS",75,75020
"0750502N","LYCEE POLYVALENT","MAXIMILIEN VOX-ART-DESSIN","5  RUE MADAME","PARIS",75,75006
"0750503P","LYCEE D ENS.INDUSTRIEL","VILLE DE PARIS","49 BIS RUE LOUIS-BLANC","PARIS",75,75010
"0730900G","LYCEE PROFESSIONNEL","PAUL HEROULT","307 avenue DU MONT CENIS","ST JEAN DE MAURIENNE CEDEX",73,73302
"0750534Y","LYCEE D ENS.COMMERCIAL","J DE VAUCANSON","121 RUE DE PATAY","PARIS",75,75013
"0750530U","LYCEE D ENS.INDUSTRIEL","VILLE DE PARIS","9 RUE DES PANOYAUX","PARIS",75,75020
"0730003G","LYCEE POLYVALENT","MARLIOZ","Chemin DU LYCEE","AIX LES BAINS CEDEX",73,73102
"0730005J","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN MOULIN","12  RUE FELIX CHAUTEMPS","ALBERTVILLE CEDEX",73,73202
"0730883N","COURS DE PROMOTION PROF.","DU LYCEE JEAN MOULIN","13 RUE FELIX CHAUTEMPS","ALBERTVILLE",73,73200
"0730886S","COURS DE PROMOTION PROF.","DU LYCEE TECH D ETAT MONGE","1 RUE DU COLOMBIER","CHAMBERY",73,73000
"0730887T","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROF.","ROUTE DE BARBY","LA RAVOIRE",73,73490
"0730813M","LYCEE GENERAL ET TECHNOL AGRIC","DE LA MOTTE SERVOLEX","DOMAINE REINACH","LA MOTTE SERVOLEX",73,73290
"0720823D","LYCEE PROFESSIONNEL PRIVE","DU SACRE COEUR DE PONTLIEUE","30 RUE DES SAPINS","LE MANS",72,72100
"0720897J","LYCEE MILITAIRE NATIONAL",,"BOULEVARD PAIXHANS",,72,72017
"0741101V","LYCEE TECHNO  PR","LES BRESSIS","85 route DES CREUSES","ANNECY",74,74600
"0741669M","LYCEE POLYVALENT","ROGER FRISON ROCHE","PROMENADE DU FORI","CHAMONIX MONT BLANC CEDEX",74,74401
"0750588G","LYCEE PROFESSIONNEL","RENE CASSIN","185  AVENUE DE VERSAILLES","PARIS",75,75016
"0752088M","COURS DE PROMOTION PRO","LYCEE TECHNIQUE MUNICIPAL","11 RUE DUPETIT THOUARS","PARIS",75,75003
"0741595G","UFA LYCEE LES 3 VALLEES","LYCEE LES 3 VALLEES","2 AVENUE DE L'ERMITAGE","THONON LES BAINS",74,74200
"0750447D","LYCEE D ENS.COMMERCIAL",,"2 RUE DUROUCHOUX","PARIS",75,75014
"0750458R","LYCEE D ENS.COMMERCIAL",,"19 RUE MARIA-DERAISMES","PARIS",75,75017
"0750678E","LYCEE TECHNOLOGIQUE","METIERS DU VETEMENT","19 RUE DES TAILLANDIERS","PARIS",75,75011
"0731504N","LYCEE POLYVALENT PRIVE","IFI ANTARES","725 FAUBOURG MONTMELIAN","CHAMBERY",73,73000
"0731507S","LYCEE GENERAL","SAINT EXUPERY","107 rue DU PRE DE FOIRE","BOURG ST MAURICE CEDEX",73,73704
"0750129H","LYCEE TECHNIQUE PRIVE","ST NICOLAS","108 RUE DE VAUGIRARD","PARIS",75,75006
"0750435R","LYCEE D ENS.COMMERCIAL","L.E.C.","40 RUE CORVISART","PARIS",75,75013
"0730812L","LYCEE PROFESSIONNEL AGRICOLE","DE COGNIN","13  AVENUE HENRY BORDEAUX","COGNIN",73,73160
"0730759D","LYCEE GENERAL PRIVE","TALMUDIQUE","50  MONTÉE REINE VICTORIA","AIX LES BAINS CEDEX",73,73105
"0730760E","LYCEE GENERAL ET TECHNOL PR","JEANNE D'ARC","3 PLACE DE L'EGLISE","ALBERTVILLE CEDEX",73,73203
"0741219Y","LYCEE AGRICOLE PRIVE","H.B.DE SAUSSURE","125  ROUTE DU LYCEE","COMBLOUX",74,74920
"0741225E","LYCEE PROFESSIONNEL AGRICOLE","ISETA - SEVRIER","3260  ROUTE D ALBERTVILLE","SEVRIER",74,74320
"0741476C","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN MONNET","1 place DE L. DE TASSIGNY","ANNEMASSE CEDEX",74,74106
"0741443S","LYCEE GENERAL PRIVE","SAINTE CROIX DES NEIGES",,"ABONDANCE",74,74360
"0740922A","COURS DE PROMOTION PROF.","LYCEE D ENS.PROF.","RUE DE LA CURDY","RUMILLY",74,74150
"0740925D","COURS DE PROMOTION PROF.","LYCEE TECH.HOTEL.SAVOIE-LEMAN","40 BOULEVARD CARNOT","THONON LES BAINS",74,74200
"0740927F","LYCEE GENERAL ET TECHNOL AGRIC","DE LA ROCHE SUR FORON","212 RUE ANATOLE FRANCE","LA ROCHE SUR FORON CEDEX",74,74805
"0721048Y","COURS DE PROMOTION SOCIALE","DU LYCEE TECHNIQUE D ETAT","PLACE WASHINGTON","LE MANS",72,72000
"0752071U","COURS DE PROMOTION PRO","LYCEE D ETAT","9  RUE FRANCIS DE CROISSET","PARIS",75,75018
"0730888U","COURS DE PROMOTION PROF.","DU LYCEE TECHNIQUE NATIONALISE","AVENUE ANDRE PRINGOLLIET","UGINE",73,73400
"0750463W","LPO LYCEE DES METIERS","LUCAS DE NEHOU","19 RUE FRIANT","PARIS",75,75014
"0741418P","LYCEE GENERAL ET TECHNOLOGIQUE","CHARLES BAUDELAIRE","9 avenue DU CAPITAINE ANJOT","ANNECY CEDEX 9",74,74991
"0750689S","LYCEE GENERAL","PAUL BERT","7  RUE HUYGHENS","PARIS",75,75014
"0750690T","LYCEE GENERAL ET TECHNOLOGIQUE","FRANCOIS VILLON","10  AVENUE MARC SANGNIER","PARIS",75,75014
"0750691U","LPO LYCEE DES METIERS","RASPAIL","5 BIS AVENUE MAURICE D OCAGNE","PARIS",75,75014
"0750693W","LYCEE GENERAL","BUFFON","16 boulevard PASTEUR","PARIS",75,75015
"0740920Y","COURS DE PROMOTION PROF.","DU LYCEE ANNA DE NOAILLES","AVENUE DE NOAILLES","EVIAN LES BAINS",74,74500
"0740921Z","COURS DE PROMOTION PROF.","LYCEE MONTBLANC","PLATEAU D ASSY","PASSY",74,74190
"0721328C","LYCEE PROF.AGRICOLE PRIVE","LES HORIZONS","15 RUE DE TOURAINE","ST GERVAIS EN BELIN",72,72220
"0731269H","CENTRE DE FORMATION CONTINUE","LYCEE PAUL HEROULT","AVENUE DU MONT CENIS","ST JEAN DE MAURIENNE",73,73300
"0741164N","LP LYCEE DES METIERS","LES CARILLONS","3 avenue DE PRELEVET","CRAN GEVRIER CEDEX",74,74962
"0721329D","LYCEE GENERAL ET TECHNOLOGIQUE","LES HORIZONS","RUE VICTOR DURUY","ST SATURNIN",72,72650
"0721332G","LYCEE PROF.AGRICOLE PRIVE","CTRE FORMATION FEMININE AGRIC","23 RUE BOUTTEVIN BOULLAY","MAYET",72,72360
"0721334J","LYCEE PROF.AGRICOLE PRIVE","LES HORIZONS","11 RUE H MAUBERT","ST CALAIS",72,72120
"0731319M","LYCEE TECHNIQUE PRIVE","JEANNE D ARC","3 PLACE DE L EGLISE","ALBERTVILLE",73,73200
"0740051D","LYCEE POLYVALENT","ANNA DE NOAILLES","2 avenue ANNA DE NOAILLES","EVIAN LES BAINS",74,74500
"0740062R","LYCEE PROFESSIONNEL","AMEDEE GORDINI","31 route DE SACCONGES","SEYNOD CEDEX",74,74602
"0730012S","LYCEE PROFESSIONNEL","HOTELIER","74 rue DU GRAND BARBERAZ","CHALLES LES EAUX",73,73190
"0750694X","LYCEE GENERAL","CAMILLE SEE","11  RUE LEON LHERMITTE","PARIS",75,75015
"0750695Y","LPO LYCEE DES METIERS","FRESNEL","31  BOULEVARD PASTEUR","PARIS",75,75015
"0750697A","LYCEE TECHNOLOGIQUE","BATIMENT-SAINT-LAMBERT","15  RUE SAINT LAMBERT","PARIS",75,75015
"0750698B","LYCEE GENERAL ET TECHNOLOGIQUE","CLAUDE BERNARD","1  AVENUE DU PARC DES PRINCES","PARIS",75,75016
"0753849B","LYCEE GENERAL PRIVE","L'ALMA","12  AVENUE BOSQUET","PARIS",75,75007
"0753851D","LYCEE GENERAL PRIVE","LA ROCHEFOUCAULD","90 BIS RUE SAINT DOMINIQUE","PARIS",75,75007
"0753852E","LYCEE GEN.ET TECHNOL.PRIVE","SAINTE-JEANNE ELISABETH","8  RUE MAURICE DE LA SIZERANNE","PARIS",75,75007
"0750543H","LYCEE PROFESSIONNEL","-HORLOGERIE","9 RUE PIERRE GIRARD","PARIS",75,75019
"0750558Z","LYCEE POLYVALENT","PAUL POIRET","19  RUE DES TAILLANDIERS","PARIS",75,75011
"0750581Z","LYCEE D ENS.SOCIAL ET FAMILIAL","J-B LULLI","44 RUE DES JEUNEURS","PARIS",75,75002
"0750583B","LYCEE D ENS.INDUSTRIEL","L.E.I.","54 RUE DE TURENNE","PARIS",75,75003
"0753177W","LYCEE PROFESSIONNEL","CLEMENT ADER","21 RUE SAMBRE ET MEUSE","PARIS",75,75010
"0741407C","LYCEE PROFESSIONNEL PRIVE","ST JOSEPH","5 AVENUE DU LEMAN","THONON LES BAINS",74,74200
"0740098E","LYCEE GENERAL ET TECHNOL  PR","SAINT JOSEPH",,"SALLANCHES CEDEX",74,74703
"0740099F","LYCEE GENERAL PRIVE","SAINT JOSEPH","18 RUE BIENHEUREUX PIERRE FAVRE","THONES",74,74230
"0740100G","LYCEE GENERAL ET TECHNOL PR","SAINT JOSEPH","16 avenue D' EVIAN","THONON LES BAINS CEDEX",74,74202
"0740104L","LYCEE GENERAL PRIVE","SAINT FRANCOIS","19  RUE FERNAND DAVID","VILLE LA GRAND",74,74100
"0741414K","LYCEE TECHNOLOGIQUE PRIVE","SAINT JOSEPH",,"SALLANCHES CEDEX",74,74703
"0750652B","LYCEE GENERAL","CHARLEMAGNE","14  RUE CHARLEMAGNE","PARIS",75,75004
"0750653C","LYCEE GENERAL ET TECHNOLOGIQUE","SOPHIE GERMAIN","9  RUE DE JOUY","PARIS",75,75004
"0750655E","LYCEE GENERAL","LOUIS LE GRAND","123  RUE SAINT JACQUES","PARIS",75,75005
"0750656F","LYCEE GENERAL","LAVOISIER","17  RUE HENRI BARBUSSE","PARIS",75,75005
"0750658H","LYCEE GENERAL","SAINT-LOUIS","44  BOULEVARD SAINT MICHEL","PARIS",75,75006
"0750659J","LYCEE GENERAL","STANISLAS (ANN SAINT LOUIS)","16 RUE DU MONTPARNASSE","PARIS CEDEX 06",75,75279
"0750660K","LYCEE GENERAL","FENELON","2  RUE DE L'EPERON","PARIS",75,75006
"0750662M","LYCEE GENERAL","VICTOR DURUY","33  BOULEVARD DES INVALIDES","PARIS",75,75007
"0750663N","LYCEE GENERAL ET TECHNOLOGIQUE","CHAPTAL","45  BOULEVARD DES BATIGNOLLES","PARIS",75,75008
"0750667T","LYCEE GENERAL","CONDORCET","8  RUE DU HAVRE","PARIS",75,75009
"0750668U","LYCEE GENERAL","JACQUES DECOUR","12  AVENUE TRUDAINE","PARIS",75,75009
"0750669V","LYCEE GENERAL","JULES FERRY","77  BOULEVARD DE CLICHY","PARIS",75,75009
"0750671X","LYCEE POLYVALENT","EDGAR QUINET","63  RUE DES MARTYRS","PARIS",75,75009
"0750672Y","LYCEE TECHNOLOGIQUE","DUPERRE ESAA","11  RUE DUPETIT THOUARS","PARIS",75,75003
"0750673Z","LYCEE GENERAL","COLBERT","27  RUE DE CHATEAU LANDON","PARIS",75,75010
"0752607B","LYCEE PROFESSIONNEL","ANNEXE LEP 075 0770 E","30 RUE ST JACQUES","PARIS",75,75005
"0750379E","LYCEE PROFESSIONNEL","JEAN MONNET","3 IMPASSE DES BELLES FEUILLES","PARIS",75,75016
"0750612H","LYCEE TECHNOLOGIQUE","EC NAT SUP DES ARTS APPLIQUES","63  RUE OLIVIER DE SERRES","PARIS",75,75015
"0740046Y","LYCEE GENERAL ET TECHNOLOGIQUE","LA VERSOIE","12 avenue DU FORCHAT","THONON LES BAINS CEDEX",74,74203
"0740047Z","LPO LYCEE DES METIERS","SAVOIE LEMAN","40 boulevard CARNOT","THONON LES BAINS CEDEX",74,74203
"0753121K","LYCEE PROFESSIONNEL","PAUL BELMONDO","14 RUE D'ALESIA","PARIS",75,75014
"0750784V","LYCEE PROFESSIONNEL","METIERS DE L'AMEUBLEMENT","9  RUE PIERRE BOURDAN","PARIS",75,75012
"0750785W","LYCEE PROFESSIONNEL","GALILEE","28  RUE DE PATAY","PARIS",75,75013
"0750787Y","LYCEE PROFESSIONNEL","CORVISART-TOLBIAC","61  RUE CORVISART","PARIS",75,75013
"0750788Z","LYCEE PROFESSIONNEL","MARCEL DEPREZ","39  RUE DE LA ROQUETTE","PARIS",75,75011
"0750789A","LYCEE PROFESSIONNEL","LP R. DE DESSIN INDUSTRIEL","5 RUE DES CAMELIAS","PARIS",75,75014
"0750791C","LYCEE PROFESSIONNEL",,"20 RUE BOURSEUL","PARIS",75,75015
"0750793E","LP LYCEE DES METIERS","BEAUGRENELLE","62  RUE SAINT CHARLES","PARIS",75,75015
"0750794F","LP LYCEE DES METIERS","BRASSAI","8  RUE QUINAULT","PARIS",75,75015
"0750795G","LYCEE PROFESSIONNEL",".","170 RUE DE TOLBIAC","PARIS",75,75013
"0750797J","LYCEE PROFESSIONNEL","ALFRED ROLL","24 RUE DUPERRE","PARIS",75,75009
"0740045X","LYCEE GENERAL","J J ROUSSEAU","AVENUE GEN DE GAULLE","THONON LES BAINS",74,74200
"0752846L","LP LYCEE DES METIERS","ERIK SATIE","2  RUE PIERRE CASTAGNOU","PARIS",75,75014
"0752847M","LYCEE D ENS.COMMERCIAL","VILLE DE PARIS","23 AVENUE DE SAINT-OUEN","PARIS",75,75017
"0741355W","LYCEE PROFESSIONNEL PRIVE","SAINT JOSEPH",450,"SALLANCHES CEDEX",74,74703
"0751883P","LYCEE TECHNOLOGIQUE PRIVE","INSTITUT PRIVE CLORIVIERE","119  BOULEVARD DIDEROT","PARIS",75,75012
"0750442Y","LYCEE D ENS.COMMERCIAL","VILLE DE PARIS","28 RUE DEBELLEYME","PARIS",75,75003
"0740132S","LYCEE TECHNOLOGIQUE PRIVE","SAINT MICHEL","27 FAUBOURG DES BALMETTES","ANNECY CEDEX",74,74007
"0740136W","LYCEE PROFESSIONNEL PRIVE","STE NOUVELLE DE ROULEMENTS","1 RUE DES USINES B P 17","ANNECY CEDEX",74,74010
"0740144E","LYCEE PROFESSIONNEL PRIVE","SAINT VINCENT","55 route DE BOSSEY","ST JULIEN EN GENEVOIS CEDE",74,74165
"0740148J","LYCEE PROFESSIONNEL PRIVE","LA FONTAINE","CHEMIN DES PRES D'ENFER","FAVERGES SEYTHENEX",74,74210
"0740152N","LYCEE PROFESSIONNEL PRIVE","CECAM","395 CHEMIN DE BEAUREGARD","ST JEOIRE EN FAUCIGNY",74,74490
"0740156T","LYCEE PROFESSIONNEL PRIVE","JEANNE D ARC","18 BIS AVENUE JULES FERRY","THONON LES BAINS CEDEX",74,74207
"0753268V","LYCEE POLYVALENT","JEAN LURCAT","48  AVENUE DES GOBELINS","PARIS",75,75013
"0752590H","LYCEE PROFESSIONNEL PRIVE","FRATELLINI TECHNIQUE DU CIRQUE","2 RUE DE LA CLOTURE","PARIS",75,75019
"0750587F","LYCEE POLYVALENT","FERNAND HOLWECK","149 RUE DE VAUGIRARD","PARIS",75,75015
"0752704G","LYCEE D ENS.INDUSTRIEL","VILLE DE PARIS","119 AVENUE SIMON BOLIVAR","PARIS",75,75019
"0754023R","LYCEE TECHNOLOGIQUE PRIVE","NADAUD","8 BIS RUE FONTAINE AU ROI","PARIS",75,75011
"0752070T","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROFESSIONNEL","70 BIS RUE DE TURBIGO","PARIS",75,75003
"0740027C","LPO LYCEE DES METIERS","MONT BLANC RENE DAYVE","ALLÉE DES ETUDIANTS","PASSY",74,74190
"0750674A","LYCEE TECHNOLOGIQUE","JULES SIEGFRIED","12  RUE D'ABBEVILLE","PARIS",75,75010
"0750675B","LYCEE GENERAL ET TECHNOLOGIQUE","VOLTAIRE","101  AVENUE DE LA REPUBLIQUE","PARIS",75,75011
"0750676C","LPO LYCEE DES METIERS","DORIAN","74  AVENUE PHILIPPE AUGUSTE","PARIS",75,75011
"0755455X","LYCEE PROFESSIONNEL PRIVE","O.I.I.O","8  RUE EDOUARD LOCKROY","PARIS",75,75011
"0761767H","LYCEE PROFESSIONNEL AGRICOLE","DU PAYS DE BRAY",,"BREMONTIER MERVAL",76,76220
"0753384W","LYCEE GENERAL PRIVE","BETH YACOV","50 BIS RUE DES PRAIRIES","PARIS",75,75020
"0751708Z","LYCEE POLYVALENT","LOUIS ARMAND","319  RUE LECOURBE","PARIS",75,75015
"0751709A","LYCEE PROFESSIONNEL","LOUIS ARMAND","319 RUE LECOURBE","PARIS",75,75015
"0751710B","LP LYCEE DES METIERS","NICOLAS LOUIS VAUQUELIN","13  AVENUE BOUTROUX","PARIS",75,75013
"0750773H","LYCEE TECHNOLOGIQUE","-EC.NAT.SUP.DU THEATRE","21 RUE BLANCHE","PARIS",75,75009
"0750775K","LYCEE PROFESSIONNEL","GUSTAVE FERRIE","7  RUE DES ECLUSES ST MARTIN","PARIS",75,75010
"0750777M","LYCEE PROFESSIONNEL","DORIAN","74 AVENUE PHILIPPE AUGUSTE","PARIS",75,75011
"0750778N","LP LYCEE DES METIERS","TURQUETIL","18  PASSAGE TURQUETIL","PARIS",75,75011
"0750780R","LYCEE PROFESSIONNEL","ELISA LEMONNIER","20 AVENUE ARMAND ROUSSEAU","PARIS",75,75012
"0740013M","LPO LYCEE DES METIERS","GUILLAUME FICHET","219 rue DE PRESSY","BONNEVILLE CEDEX",74,74136
"0740017S","LPO LYCEE DES METIERS","CHARLES PONCET","1  AVENUE CHARLES PONCET","CLUSES CEDEX",74,74302
"0753809H","LYCEE GENERAL PRIVE","PAUL CLAUDEL","118  RUE DE GRENELLE","PARIS",75,75007
"0762219Z","COURS DE PROMOTION SOCIALE","LYCEE LE HAVRE-CAUCRIAUVILLE","PLACE R SCHUMAN","LE HAVRE",76,76600
"0762220A","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROF.","17 RUE JACQUARD","LE PETIT QUEVILLY",76,76140
"0762221B","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROF.EDMOND LABBE","AVENUE ARISTIDE BRIAND","ST CRESPIN",76,76590
"0762223D","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROF.DE MAROMME","1 ROUTE DE DIEPPE","MAROMME",76,76150
"0741132D","CENTRE DE PROMOTION SOCIALE","LYCEE TECHNIQUE G.SOMMEILLER","2 BOULEVARD TAINE","ANNECY",74,74000
"0750648X","LYCEE GENERAL","VICTOR HUGO","27  RUE DE SEVIGNE","PARIS",75,75003
"0750651A","LYCEE GENERAL ET TECHNOLOGIQUE","SIMONE WEIL","7  RUE DE POITOU","PARIS",75,75003
"0750419Y","LYCEE PROFESSIONNEL","CAMILLE JENATZY","6  RUE CHARLES HERMITE","PARIS",75,75018
"0750428H","LPO LYCEE DES METIERS","JACQUES MONOD","12  RUE VICTOR COUSIN","PARIS",75,75005
"0740276Y","LYCEE PROFESSIONNEL AGRICOLE","CONTAMINE","139  ROUTE MAIRIE","CONTAMINE SUR ARVE",74,74130
"0753897D","LYCEE GENERAL PRIVE","SAINT-MICHEL DE PICPUS","53  RUE DE LA GARE DE REUILLY","PARIS",75,75012
"0753898E","LYCEE GENERAL PRIVE","E. NAPOLEON ST PIERRE FOURIER","13  RUE DE PRAGUE","PARIS",75,75012
"0753902J","LYCEE GENERAL PRIVE","NOTRE-DAME DE FRANCE","63  RUE DE LA SANTE","PARIS",75,75013
