"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0596335R","LYCEE GENERAL PRIVE","INSTITUT D ANCHIN","ABBAYE D'ANCHIN","PECQUENCOURT",59,59146
"0590101P","LYCEE GENERAL ET TECHNOLOGIQUE","DES FLANDRES","2 avenue DES FLANDRES","HAZEBROUCK CEDEX",59,59522
"0590102R","LP LYCEE DES METIERS","DES MONTS DE FLANDRE","4 AVENUE DES FLANDRES","HAZEBROUCK CEDEX",59,59522
"0593187U","LYCEE PROFESSIONNEL","BEAUPRE","8 AVENUE DE BEAUPRE","HAUBOURDIN CEDEX",59,59481
"0590270Y","LP LYCEE DES METIERS","DU HAINAUT","1 avenue VILLARS","VALENCIENNES CEDEX",59,59322
"0593223H","LYCEE GEN.ET TECHNOL.PRIVE","SAINT VINCENT DE PAUL","6 RUE DU MARECHAL JOFFRE","LOOS",59,59120
"0593225K","LYCEE PRIVE","LYCEE PRIVE DE MARCQ","170  RUE DU COLLEGE","MARCQ EN BAROEUL CEDEX",59,59702
"0595480L","LYCEE PROFESSIONNEL","ILE JEANTY","Rue AUGUSTE WAETERAERE","DUNKERQUE",59,59140
"0593457M","COURS DE PROMOTION SOCIALE","LYCEE FERNAND LEGER","ROUTE DE STEENDAM","COUDEKERQUE BRANCHE CEDEX",59,59411
"0596774T","ANTENNE DE CFA","UFA ADEFA - LYCEE LE CORBUSIER","74 RUE DE LILLE","TOURCOING",59,59200
"0594652L","LYCEE PROFESSIONNEL","DES PLAINES DU NORD","74 AVENUE DE PETITE SYNTHE","GRANDE SYNTHE CEDEX",59,59792
"0594654N","LYCEE PROFESSIONNEL","ANNEXE DU LP KASTLER A DENAIN","RUE ROGER SALENGRO","ESCAUDAIN",59,59124
"0593462T","LYCEE GEN.ET TECH. AGRICOLE","DU NORD - SITE DE SAINS","52 RUE JEAN-BAPTISTE LEBAS","SAINS DU NORD",59,59177
"0572952Z","LYCEE POLYVALENT PRIVE","NOTRE DAME DE LA PROVIDENCE",,,57,57312
"0572953A","LYCEE PROFESSIONNEL PRIVE","SAINT JOSEPH-LA PROVIDENCE","2 avenue PASSAGA","FORBACH",57,57600
"0590117G","LYCEE GENERAL ET TECHNOLOGIQUE","LOUIS PASTEUR","1  RUE DES URBANISTES","LILLE",59,59800
"0573519R","LYCEE TECHNOLOGIQUE PRIVE","SAINT ANDRE","1 RUE DE L'EGLISE","OTTANGE",57,57840
"0590264S","LP LYCEE DES METIERS","ALFRED KASTLER","123 rue PAUL ELIE CASANOVA","DENAIN CEDEX",59,59723
